w,x,y,z,North,East,Down
0.719086,0.00521105,0.00368335,0.694892,0.281498,-0.247138,-0.853625
0.717233,0.00704563,0.00816284,0.69675,0.301211,-0.246468,-0.866646
0.716236,0.00538918,0.00831221,0.697788,0.302481,-0.238621,-0.871716
0.715917,0.00150725,0.00634571,0.698155,0.280017,-0.216642,-0.879986
0.716022,-0.00256702,0.00484062,0.698057,0.252976,-0.201894,-0.870437
0.714067,-0.0543706,-0.0480736,0.696306,0.226879,-0.19365,-0.86171
0.714231,-0.0415396,-0.0367837,0.697707,0.270866,-0.193517,-0.873314
0.717263,-0.020061,-0.0154785,0.696342,0.404797,-0.201567,-0.880106
0.721125,-0.00313943,-0.00331851,0.69279,0.600811,-0.225775,-0.872752
0.720907,-0.042329,-0.0463575,0.690183,0.770652,-0.245428,-0.876344
0.722677,-0.0229598,-0.0282686,0.690226,1.00159,-0.271413,-0.876624
0.721044,0.00104366,-0.00457184,0.692873,1.24809,-0.275153,-0.880041
0.71574,0.0121169,0.0102048,0.698187,1.50338,-0.270569,-0.875764
0.711386,-0.0323465,-0.0313929,0.701354,1.76671,-0.243935,-0.876292
0.710704,-0.0163837,-0.00935525,0.703238,2.0195,-0.217461,-0.86854
0.713614,0.00450721,0.0118499,0.700425,2.33907,-0.207286,-0.874981
0.715192,0.014976,0.0219948,0.698422,2.60178,-0.203089,-0.889313
0.71578,-0.0298704,-0.0245256,0.697256,2.85281,-0.201963,-0.901915
0.717481,-0.0128814,-0.009686,0.696392,3.08663,-0.213412,-0.895924
0.718403,0.00884905,0.00817052,0.695523,3.38669,-0.253202,-0.887019
0.718586,0.0203997,0.0144315,0.694989,3.62861,-0.290107,-0.870864
0.71739,-0.0240707,-0.0330803,0.695469,3.87112,-0.316336,-0.881831
0.715948,-0.0100083,-0.0172223,0.697869,4.09297,-0.318604,-0.888916
0.714696,0.00915162,0.00477814,0.699359,4.35943,-0.307184,-0.889656
0.71459,0.0172953,0.0177239,0.699105,4.64459,-0.282718,-0.901083
0.714643,-0.0295789,-0.0277272,0.698314,4.84838,-0.264692,-0.89657
0.715581,-0.0156528,-0.012551,0.698241,5.08405,-0.251662,-0.892019
0.716715,0.00322547,0.0076178,0.697317,5.34031,-0.233678,-0.890278
0.716571,0.0132265,0.0182469,0.69715,5.61507,-0.225353,-0.8968
0.715914,-0.0303786,-0.0273817,0.69699,5.8315,-0.215835,-0.904035
0.717027,-0.0151437,-0.0106741,0.6968,6.08655,-0.209607,-0.923118
0.715486,0.00507975,0.00766944,0.698566,6.34393,-0.21434,-0.932862
0.715425,0.0149076,0.0174397,0.698313,6.59746,-0.214135,-0.930424
0.714798,-0.0283645,-0.0283953,0.698178,6.85157,-0.228182,-0.914738
0.715371,-0.0111274,-0.0124503,0.698546,7.09783,-0.234834,-0.92263
