w,x,y,z,North,East,Down
0.715777,-0.00656332,-0.000236841,0.698298,-0.561419,-0.145158,-1.39564
0.717734,0.00106834,0.00509338,0.696298,-0.446503,-0.165317,-1.46503
0.714929,-0.0101736,0.00157907,0.699121,-0.0675352,-0.105778,-1.47633
0.718039,0.0109819,0.0154857,0.695744,0.944466,-0.132907,-1.43397
0.717544,0.0122989,0.0193372,0.696136,1.99124,-0.127701,-1.47273
0.718195,0.0133566,0.0156364,0.695538,2.9899,-0.167997,-1.46309
0.717661,0.0153997,0.0208899,0.695909,4.03122,-0.156438,-1.43477
0.71902,0.0117088,0.0219622,0.694544,5.05826,-0.10652,-1.42209
0.715099,0.0100508,0.0122392,0.698844,5.95359,-0.140331,-1.39302
0.719772,0.0159206,0.021065,0.693709,7.04809,-0.148601,-1.31885
